# X	Y	avg	sigma	chip	ch
-4.87224	-0.56258	228	10.5	0	0
-3.89779	0	229	10.6	0	2
-3.89779	-1.12518	235	11.8	0	4
-5.84669	-1.12518	224	12.2	0	6
-2.92333	-1.68778	226	11.6	0	8
-5.84669	-2.25038	232	12.9	0	10
-4.87224	-1.68778	231	12.8	0	12
-1.94888	-1.12518	233	10.7	0	14
-2.92333	-0.56258	222	10.5	0	16
-1.94888	0	230	10.9	0	18
-2.92333	0.56258	232	16	0	20
-1.94888	1.12518	228	15.3	0	22
-0.974432	0.56258	238	12	0	24
-0.974432	1.68778	226	10.6	0	26
-1.94888	2.25038	221	29.5	0	28
-1.94888	3.37558	307	469	0	30
-2.92333	3.93818	227	17.6	0	32
-2.92333	2.81298	227	11.5	0	34
-3.89779	3.37558	234	13.3	0	36
-3.89779	2.25038	231	12.4	0	38
-2.92333	1.68778	227	15	0	40
-3.89779	1.12518	226	14	0	42
-2.92333	5.06338	230	14.5	0	44
-6.82114	-0.56258	224	15.2	0	46
-3.89779	4.50078	231	15.3	0	48
-4.87224	3.93818	228	14	0	50
-4.87224	2.81298	224	11.7	0	52
-4.87224	1.68778	229	11.1	0	54
-5.84669	2.25038	232	2.72	0	56
-5.84669	0	226	15.7	0	58
-4.87224	0.56258	224	14.7	0	60
-5.84669	1.12518	182	94.5	0	62
-1.94888	-3.37558	211	10.7	1	0
-0.974432	-3.93818	223	10.4	1	2
-1.94888	-4.50078	220	10.7	1	4
-0	-4.50078	214	11.4	1	6
-2.92333	-5.06338	196	20.5	1	8
0.974432	-3.93818	219	10.9	1	10
0.974432	-5.06338	213	11.1	1	12
-3.89779	-4.50078	210	12.6	1	14
-3.89779	-5.62598	209	11	1	16
-1.94888	-5.62598	212	10.3	1	18
-0.974432	-5.06338	211	14.5	1	20
-0.974432	-6.18858	204	10.1	1	22
-0	-5.62598	216	11.1	1	24
0.974432	-6.18858	210	26.9	1	26
1.94888	-5.62598	203	41.2	1	28
1.94888	-4.50078	323	497	1	30
2.92333	-5.06338	200	21.7	1	32
3.89779	-5.62598	205	10.6	1	34
-0	-1.12518	204	10.9	1	36
-0	-2.25038	188	14.3	1	38
0.974432	-2.81298	216	10.7	1	40
-0	-3.37558	214	11.3	1	42
-0.974432	-0.56258	204	14.2	1	44
-2.92333	-2.81298	212	12.1	1	46
-3.89779	-2.25038	213	11.8	1	48
-4.87224	-2.81298	212	15.5	1	50
-1.94888	-2.25038	207	11.4	1	52
-0.974432	-1.68778	209	14.5	1	54
-0.974432	-2.81298	209	14.7	1	56
-2.92333	-3.93818	184	137	1	58
-4.87224	-3.93818	184	78.2	1	60
-3.89779	-3.37558	185	133	1	62
3.89779	-1.12518	204	13.1	2	0
3.89779	-0	198	36.7	2	2
4.87224	-0.56258	222	10	2	4
5.84669	-1.12518	206	9.19	2	6
4.87224	1.68778	205	11.4	2	8
5.84669	-0	204	9.6	2	10
6.82114	-0.56258	211	11.1	2	12
5.84669	1.12518	205	11.2	2	14
5.84669	2.25038	203	11.5	2	16
4.87224	0.56258	200	10.5	2	18
3.89779	1.12518	209	10.4	2	20
2.92333	0.56258	205	10.3	2	22
2.92333	-0.56258	217	10.3	2	24
1.94888	-0	205	11.5	2	26
1.94888	1.12518	203	43.2	2	28
2.92333	-1.68778	315	479	2	30
1.94888	-2.25038	198	18.9	2	32
1.94888	-1.12518	208	11	2	34
0	-0	209	10	2	36
0.974432	-0.56258	209	9.85	2	38
0.974432	-1.68778	216	9.45	2	40
1.94888	-3.37558	205	9.98	2	42
2.92333	-2.81298	206	10.3	2	44
2.92333	-3.93818	210	10.5	2	46
3.89779	-4.50078	204	11.9	2	48
3.89779	-3.37558	211	12.3	2	50
4.87224	-3.93818	211	10.7	2	52
4.87224	-1.68778	209	10.5	2	54
4.87224	-2.81298	205	10.2	2	56
3.89779	-2.25038	212	19.1	2	58
5.84669	-2.25038	171	91.5	2	62
1.94888	4.50078	219	8.75	3	0
1.94888	5.62598	215	9.15	3	2
2.92333	5.06338	210	8.33	3	4
0.974432	5.06338	226	10.2	3	6
0	5.62598	213	9.29	3	8
0.974432	6.18858	218	10.5	3	10
-0.974432	6.18858	222	9.93	3	12
0	4.50078	213	9.44	3	14
0.974432	3.93818	226	9.99	3	16
0	3.37558	214	9.89	3	18
-2.92333	6.18858	213	9.24	3	20
-1.94888	5.62598	211	9.17	3	22
-0.974432	5.06338	221	9.45	3	24
-0.974432	3.93818	224	10.4	3	26
-1.94888	4.50078	206	24.1	3	28
-0.974432	2.81298	333	502	3	30
0	2.25038	209	13	3	32
0	1.12518	219	10.2	3	34
0.974432	0.56258	221	10.4	3	36
0.974432	1.68778	220	9.77	3	38
3.89779	2.25038	222	9.88	3	40
2.92333	1.68778	222	9.44	3	42
2.92333	2.81298	219	12.1	3	44
4.87224	2.81298	214	11	3	46
4.87224	3.93818	215	10.8	3	48
3.89779	3.37558	219	11.2	3	50
1.94888	2.25038	221	10.2	3	52
0.974432	2.81298	218	9.9	3	54
1.94888	3.37558	218	10.3	3	56
2.92333	3.93818	215	20.9	3	58
3.89779	5.62598	191	33.4	3	60
3.89779	4.50078	179	89.3	3	62
