# X	Y	avg	sigma	chip	ch
-4.87224	-0.56258	241	2.12	0	0
-3.89779	0	224	2.11	0	2
-3.89779	-1.12518	228	2.08	0	4
-5.84669	-1.12518	228	2.05	0	6
-2.92333	-1.68778	232	2.11	0	8
-5.84669	-2.25038	232	2.2	0	10
-4.87224	-1.68778	238	2.21	0	12
-1.94888	-1.12518	233	2.17	0	14
-2.92333	-0.56258	236	2.17	0	16
-1.94888	0	230	2.32	0	18
-2.92333	0.56258	226	2.27	0	20
-1.94888	1.12518	241	2.31	0	22
-0.974432	0.56258	232	2.11	0	24
-0.974432	1.68778	225	2.23	0	26
-1.94888	2.25038	228	2.06	0	28
-1.94888	3.37558	165	146	0	30
-2.92333	3.93818	228	2.15	0	32
-2.92333	2.81298	231	2.25	0	34
-3.89779	3.37558	239	2.35	0	36
-3.89779	2.25038	221	2.06	0	38
-2.92333	1.68778	241	2.3	0	40
-3.89779	1.12518	242	2.27	0	42
-2.92333	5.06338	238	2.36	0	44
-6.82114	-0.56258	231	2.14	0	46
-3.89779	4.50078	236	2.42	0	48
-4.87224	3.93818	234	2.23	0	50
-4.87224	2.81298	232	2.13	0	52
-4.87224	1.68778	227	2.13	0	54
-5.84669	2.25038	233	1.78	0	56
-5.84669	0	229	2.09	0	58
-4.87224	0.56258	235	2.02	0	60
-5.84669	1.12518	223	4.04	0	62
-1.94888	-3.37558	220	2.26	1	0
-0.974432	-3.93818	215	2	1	2
-1.94888	-4.50078	218	1.88	1	4
-0	-4.50078	215	2.06	1	6
-2.92333	-5.06338	211	2.09	1	8
0.974432	-3.93818	219	2.12	1	10
0.974432	-5.06338	215	2.22	1	12
-3.89779	-4.50078	221	1.98	1	14
-3.89779	-5.62598	212	1.94	1	16
-1.94888	-5.62598	217	1.91	1	18
-0.974432	-5.06338	216	2.03	1	20
-0.974432	-6.18858	208	2.05	1	22
-0	-5.62598	212	2.04	1	24
0.974432	-6.18858	202	2.03	1	26
1.94888	-5.62598	212	1.94	1	28
1.94888	-4.50078	151	139	1	30
2.92333	-5.06338	222	1.98	1	32
3.89779	-5.62598	221	1.99	1	34
-0	-1.12518	213	2.1	1	36
-0	-2.25038	218	2.06	1	38
0.974432	-2.81298	217	1.98	1	40
-0	-3.37558	213	1.99	1	42
-0.974432	-0.56258	219	2.01	1	44
-2.92333	-2.81298	227	2.33	1	46
-3.89779	-2.25038	214	1.9	1	48
-4.87224	-2.81298	221	1.97	1	50
-1.94888	-2.25038	213	2.02	1	52
-0.974432	-1.68778	219	2.22	1	54
-0.974432	-2.81298	230	2.25	1	56
-2.92333	-3.93818	204	10.7	1	58
-4.87224	-3.93818	217	3.09	1	60
-3.89779	-3.37558	212	9.74	1	62
3.89779	-1.12518	219	2.33	2	0
3.89779	-0	211	4.76	2	2
4.87224	-0.56258	222	1.82	2	4
5.84669	-1.12518	213	1.71	2	6
4.87224	1.68778	211	1.92	2	8
5.84669	-0	217	1.88	2	10
6.82114	-0.56258	212	1.74	2	12
5.84669	1.12518	211	1.89	2	14
5.84669	2.25038	223	1.99	2	16
4.87224	0.56258	215	1.94	2	18
3.89779	1.12518	214	1.89	2	20
2.92333	0.56258	216	2	2	22
2.92333	-0.56258	207	1.77	2	24
1.94888	-0	215	1.96	2	26
1.94888	1.12518	214	1.78	2	28
2.92333	-1.68778	140	135	2	30
1.94888	-2.25038	218	1.86	2	32
1.94888	-1.12518	221	1.94	2	34
0	-0	207	1.95	2	36
0.974432	-0.56258	217	1.83	2	38
0.974432	-1.68778	218	1.92	2	40
1.94888	-3.37558	219	2.03	2	42
2.92333	-2.81298	214	1.84	2	44
2.92333	-3.93818	225	1.98	2	46
3.89779	-4.50078	211	1.83	2	48
3.89779	-3.37558	215	1.98	2	50
4.87224	-3.93818	216	1.87	2	52
4.87224	-1.68778	207	1.87	2	54
4.87224	-2.81298	212	1.76	2	56
3.89779	-2.25038	224	2.02	2	58
5.84669	-2.25038	207	4.21	2	62
1.94888	4.50078	211	1.77	3	0
1.94888	5.62598	208	1.79	3	2
2.92333	5.06338	211	1.87	3	4
0.974432	5.06338	220	2.01	3	6
0	5.62598	215	2.11	3	8
0.974432	6.18858	224	1.92	3	10
-0.974432	6.18858	217	1.98	3	12
0	4.50078	209	1.9	3	14
0.974432	3.93818	219	1.78	3	16
0	3.37558	221	1.97	3	18
-2.92333	6.18858	227	1.87	3	20
-1.94888	5.62598	229	2.06	3	22
-0.974432	5.06338	222	2.02	3	24
-0.974432	3.93818	215	1.87	3	26
-1.94888	4.50078	218	1.83	3	28
-0.974432	2.81298	142	137	3	30
0	2.25038	211	1.88	3	32
0	1.12518	216	2.07	3	34
0.974432	0.56258	220	1.71	3	36
0.974432	1.68778	218	1.82	3	38
3.89779	2.25038	229	1.77	3	40
2.92333	1.68778	221	2.05	3	42
2.92333	2.81298	214	1.96	3	44
4.87224	2.81298	221	2.04	3	46
4.87224	3.93818	216	1.92	3	48
3.89779	3.37558	220	1.83	3	50
1.94888	2.25038	220	1.95	3	52
0.974432	2.81298	221	1.87	3	54
1.94888	3.37558	222	1.85	3	56
2.92333	3.93818	219	2.15	3	58
3.89779	5.62598	208	1.84	3	60
3.89779	4.50078	217	3.51	3	62
