#Draw SCA 0 to check...
#CH num	HGADC	LGADC
0	227.81	242.036
1	217.024	228.845
2	229.262	224.452
3	227.69	232.095
4	234.607	227.845
5	229.452	241.833
6	224.393	228.821
7	228.69	230.595
8	226.476	232.393
9	224.667	222.452
10	232.131	232.667
11	234.381	233.345
12	231.464	238.179
13	221.917	228.738
14	232.571	233.75
15	230.417	225.714
16	221.929	236.536
17	224.5	236.31
18	229.774	230.81
19	223.036	237.583
20	231.976	226.786
21	233.524	227.857
22	228.321	241.857
23	222.583	232.929
24	237.548	232.048
25	222.833	229.917
26	225.667	225.536
27	233.048	237.333
28	221.036	226.798
29	226.893	238.976
30	307.429	249.631
31	233.905	234.167
32	227.44	227.845
33	217.964	232.131
34	226.833	231.286
35	221.964	238.524
36	234.357	239.333
37	239.488	232.405
38	230.56	221.464
39	233.667	234.964
40	226.56	241.821
41	232.274	227.107
42	226.476	242.643
43	225.048	232.024
44	230.357	238.131
45	230.488	230.274
46	224.476	230.976
47	229.345	237.988
48	230.833	236.726
49	223.202	232.036
50	228.476	234.905
51	230.821	247.762
52	223.821	232.548
53	221.929	238.143
54	228.774	227.024
55	228.083	242.655
56	231.571	233.25
57	225.107	234.643
58	225.786	229.036
59	223.429	232.393
60	223.607	235.321
61	222.131	233.857
62	182.333	218.857
63	221.298	222.06
64	210.976	221.143
65	217.036	211.262
66	223.095	216.429
67	210.119	225.571
68	220.167	219.19
69	202.929	207.512
70	213.75	215.964
71	214.464	219.024
72	196.286	211.357
73	205.369	210.536
74	219.417	219.607
75	216.286	221.762
76	213.333	216.44
77	207.964	219.583
78	209.952	221.702
79	207.238	216.774
80	209.25	213.417
81	209.714	212.738
82	212.214	217.69
83	214.333	209.31
84	210.56	216.857
85	214.893	208.31
86	204.298	208.94
87	204.881	215.798
88	215.905	212.917
89	206.929	212.94
90	209.56	202.19
91	214.488	216.893
92	203.452	212.226
93	214.131	217.571
94	322.655	240.321
95	216.619	204.94
96	200.226	222.393
97	219.333	213.798
98	205.107	221.56
99	224.214	219.524
100	203.619	214.583
101	208.214	215.726
102	187.643	218.75
103	219.929	210.738
104	216.357	218.024
105	212.083	217
106	213.75	214.536
107	217.107	210.036
108	204.333	219.679
109	204.524	209.298
110	211.81	227.524
111	206.952	219.107
112	212.774	214.845
113	216.619	205.405
114	211.524	222.083
115	212.893	220.19
116	207.31	214.06
117	209.167	213.071
118	209.488	219.583
119	209.714	221.024
120	208.869	230.952
121	214.488	220.321
122	183.667	195.345
123	212.226	211.417
124	183.845	215.476
125	212.726	211.81
126	185.31	204.655
127	208.274	210.286
128	204.214	219.381
129	204.155	213.19
130	198.012	210.81
131	210.036	212.429
132	222.369	222.036
133	205.881	217.226
134	205.821	213.107
135	209.31	216.381
136	204.726	211.25
137	207.655	217.976
138	204.095	217.226
139	205.06	211.976
140	211.274	212.476
141	208.643	217.345
142	205.31	211.619
143	203.226	226.571
144	202.905	223.333
145	199.143	217.024
146	199.917	215.214
147	207.476	223.548
148	209.083	214.631
149	212.107	213.44
150	205.107	216.488
151	205.179	217.321
152	216.583	207.417
153	201.226	218.893
154	205.333	214.881
155	213.869	223.69
156	202.952	212.667
157	220.238	219.452
158	315.048	232.726
159	212.702	220.869
160	198.25	217.702
161	205.881	210.298
162	208.012	221.631
163	199.202	213.548
164	208.631	206.655
165	202.286	217.619
166	209.321	217.429
167	210.917	214.595
168	215.548	218.131
169	208.845	213.762
170	205.214	219.143
171	212.857	221.345
172	206.071	214.179
173	215.083	220.036
174	210.31	225.226
175	210.357	211.643
176	204.071	211.202
177	204.488	216.357
178	211.464	215.821
179	209.798	207.607
180	211.274	215.845
181	206.786	224.714
182	208.821	206.679
183	214.179	217.917
184	204.655	211.988
185	206.31	210.702
186	211.726	224.179
187	199.643	223.06
188	200.655	218.81
189	204.833	209.369
190	170.881	203.702
191	205.75	214.095
192	219.167	211.381
193	204.369	211.321
194	214.655	208.857
195	217.81	209.452
196	209.655	211.393
197	215.571	219.095
198	226.345	220.738
199	210.369	215.048
200	213.405	215.667
201	216.643	221.476
202	217.548	225.083
203	205.726	209.607
204	221.643	217.726
205	218.071	220.964
206	212.976	209.893
207	221.56	217.988
208	225.988	219.583
209	220.393	223.429
210	214.345	221.881
211	211.798	210.762
212	212.714	227.369
213	217.321	224.036
214	211.393	229.179
215	209.619	222.619
216	221.298	222.202
217	211.417	209.476
218	223.976	215.512
219	216.69	220.917
220	206.262	217.94
221	202.036	212.548
222	333.071	237.071
223	214.405	218.333
224	208.833	210.75
225	225.107	221.833
226	218.75	216.714
227	218.762	220
228	221.333	220.512
229	227.845	221.167
230	219.631	218.083
231	210.357	220.06
232	222.357	229.202
233	217.024	204.214
234	221.833	221.345
235	221.869	219.119
236	218.607	214.321
237	205.524	224.012
238	214.048	221.405
239	210.94	216.857
240	214.81	216.548
241	204.119	220.167
242	218.679	220.595
243	212.738	218.179
244	221.012	220.679
245	212.821	227.119
246	218	221.44
247	215.667	215.81
248	218.274	222.536
249	223.607	225.357
250	214.512	219.071
251	206.524	211.988
252	191.405	207.536
253	214.762	218.964
254	179.345	213.988
255	211.452	215.5
